3b-swf-20110110-git	3b-swf-swc, 3b-swf
cl-iconv-20101207-git	iconv
cl-interpol-0.2.1	cl-interpol-test, cl-interpol
cl-irc-20101006-svn	cl-irc
cl-irregsexp-20101006-git	cl-irregsexp-test, cl-irregsexp
cl-jpeg-20101107-http	cl-jpeg
cl-jpl-util-0.3	jpl-util
cl-json-20101006-darcs	cl-json.test, cl-json
cl-l10n-20101107-darcs	cl-l10n.test, cl-l10n
cl-l10n-cldr-20101107-darcs	cl-l10n-cldr
cl-lastfm-20101006-git	cl-lastfm-test, cl-lastfm
cl-lex-20101006-http	cl-lex
cl-lexer-20110110-git	lexer
cl-libxml2-0.3.4	xoverlay, xfactory-test, xfactory, cl-libxml2-test, cl-libxml2
cl-log-20101006-http	cl-log
cl-m4-20110110-git	cl-m4-test, cl-m4
cl-markdown-20101006-darcs	cl-markdown-test, cl-markdown-comparisons, cl-markdown
cl-memcached-0.4.1	cl-memcached
cl-migrations-20110110-http	cl-migrations
cl-modlisp-20101006-git	modlisp
cl-mongo-20101207-git	cl-mongo
cl-mssql-0.0.2	mssql
cl-mw-20101207-git	cl-mw.examples.ping, cl-mw.examples.monte-carlo-pi, cl-mw.examples.higher-order, cl-mw.examples.hello-world, cl-mw
cl-ncurses_0.1.4	cl-ncurses
cl-num-utils-20101006-git	cl-num-utils-tests, cl-num-utils
cl-oauth-20101006-git	cl-oauth
cl-openal-20101006-git	cl-openal-examples, cl-openal, cl-alut, cl-alc
cl-opengl-20110110-git	cl-opengl, cl-glut-examples, cl-glut, cl-glu
cl-org-mode-20101207-git	cl-org-mode
cl-paypal-20101006-git	cl-paypal
cl-pdf-20101107-svn	salza, cl-pdf-parser, cl-pdf
cl-photo-20101006-git	cl-photo-tests, cl-photo
cl-plplot-0.6.0	plplot-examples, cl-plplot
cl-png-0.6	png-test, png
cl-popen-20110110-git	cl-popen-test, cl-popen
cl-ppcre-2.0.3	cl-ppcre-unicode, cl-ppcre-test, cl-ppcre
cl-prevalence-20101207-hg	cl-prevalence
cl-proc-20101207-darcs	proc
cl-qprint-20101006-http	cl-qprint
cl-quakeinfo-20110110-git	cl-quakeinfo
cl-quickcheck-20110110-git	cl-quickcheck
cl-random-20101107-git	cl-random-unit-tests, cl-random
cl-rcfiles-20101006-http	com.dvlsoft.rcfiles
cl-redis-20110110-git	cl-redis
cl-routes-20101107-git	routes
cl-rss-20101006-git	rss
cl-s3-20101006-http	cl-s3
cl-sasl_0.3	cl-sasl
cl-skip-list-20101207-git	cl-skip-list
cl-smtp-20101107-http	cl-smtp
cl-soap-20101006-cvs	cl-soap
cl-sphinx-20101107-git	sphinx
cl-sqlite-20110110-git	sqlite-tests, sqlite
cl-stm-20101207-http	cl-stm.test, cl-stm
cl-store-20101207-darcs	cl-store-tests, cl-store
cl-swap-file-0.4	cl-swap-file-0.4
cl-syslog-20101107-http	cl-syslog
cl-test-more-20110110-git	cl-test-more
cl-twitter-20110110-git	cl-twitter, cl-twit-repl
cl-typesetting-20101006-svn	xml-render, cl-typesetting, cl-pdf-doc
cl-uglify-js-20110110-git	cl-uglify-js
cl-unicode-0.1.1	cl-unicode-test, cl-unicode
cl-unification-20101006-cvs	cl-unification-lib, cl-unification, cl-ppcre-template
cl-utilities-1.2.4	cl-utilities
cl-v4l2-20101107-git	cl-v4l2
cl-vectors-20101006-git	cl-vectors, cl-paths-ttf, cl-paths, cl-aa-misc, cl-aa
cl-wal-0.3	cl-wal-0.3
cl-webdav-0.2.0	cl-webdav
cl-who-0.11.1	cl-who
cl-wkb-0.1	wkb
cl-xmlspam-20101006-http	cl-xmlspam
cl-xmpp-0.8.1	cl-xmpp-tls, cl-xmpp-sasl, cl-xmpp
cl-yacc-20101006-darcs	yacc
cl-zmq-20101107-git	zeromq
clazy-20110110-cvs	clazy
clem-20101006-git	clem-test, clem-benchmark, clem
cleric-20101207-git	cleric
clfswm-20110110-svn	clfswm
clg-20110110-cvs	clg-tools
climacs-20101006-cvs	climacs
clonsigna-20101006-http	clonsigna
clos-diff-20110110-git	clos-diff
closer-mop-20110110-darcs	closer-mop
closure-common-20101107-git	closure-common
closure-html-20101006-git	closure-html
clot-20101006-http	clot
clouchdb_0.0.11	clouchdb
clpython-20110110-git	clpython.test, clpython.runtime, clpython.parser, clpython.lib, clpython.contrib, clpython.compiler, clpython.basic, clpython
clsql-20101207-git	clsql-uffi, clsql-tests, clsql-sqlite3, clsql-postgresql-socket, clsql-postgresql, clsql-odbc, clsql-mysql, clsql-cffi, clsql-aodbc, clsql
cluck-20101006-git	cluck
clws-20101006-git	clws
clx-0.7.4	clx
colorize-20101006-svn	colorize
command-line-arguments-20101006-git	command-line-arguments
commonqt-20110110-git	qt-tutorial, qt-test, qt-repl, qt
conduit-packages-20101006-http	conduit-packages
conium-20101006-git	conium
contextl-20101006-darcs	dynamic-wind, contextl
css-lite-20101107-git	css-lite
csv-parser-20101207-http	csv-parser
curly-20101207-darcs	curly.test, curly
cxml-20101107-git	cxml-xml, cxml-test, cxml-klacks, cxml-dom, cxml
